epoch,accuracy,auc,loss,mean_absolute_error,precision,recall,true_negatives,true_positives,val_accuracy,val_auc,val_loss,val_mean_absolute_error,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8461291790008545,0.9269511103630066,0.4058987498283386,0.21127761900424957,0.8461291790008545,0.8461291790008545,63304.0,63304.0,0.9162029027938843,0.9694656133651733,0.26098158955574036,0.118004210293293,0.9162029027938843,0.9162029027938843,17122.0,17122.0
1,0.9195225834846497,0.9708730578422546,0.24332821369171143,0.12228011339902878,0.9195225834846497,0.9195225834846497,68795.0,68795.0,0.9000962972640991,0.9609168767929077,0.2817598581314087,0.1320217400789261,0.9000962972640991,0.9000962972640991,16821.0,16821.0
2,0.9321936368942261,0.9761456251144409,0.20903494954109192,0.10727957636117935,0.9321936368942261,0.9321936368942261,69743.0,69743.0,0.930008590221405,0.9764465093612671,0.21052685379981995,0.09513486176729202,0.930008590221405,0.930008590221405,17380.0,17380.0
3,0.9367782473564148,0.9787925481796265,0.19213265180587769,0.09962603449821472,0.9367782473564148,0.9367782473564148,70086.0,70086.0,0.9247645735740662,0.973412275314331,0.22441455721855164,0.09936932474374771,0.9247645735740662,0.9247645735740662,17282.0,17282.0
4,0.9403202533721924,0.9800944924354553,0.18295903503894806,0.09464415162801743,0.9403202533721924,0.9403202533721924,70351.0,70351.0,0.9471853375434875,0.98222815990448,0.17053401470184326,0.08108252286911011,0.9471853375434875,0.9471853375434875,17701.0,17701.0
5,0.9433543682098389,0.9810279011726379,0.1761123239994049,0.0906200110912323,0.9433543682098389,0.9433543682098389,70578.0,70578.0,0.9475064277648926,0.9822748303413391,0.16869202256202698,0.09233839064836502,0.9475064277648926,0.9475064277648926,17707.0,17707.0
6,0.9439959526062012,0.9820452332496643,0.17090602219104767,0.08855178952217102,0.9439959526062012,0.9439959526062012,70626.0,70626.0,0.9467572569847107,0.9838524460792542,0.1632697731256485,0.08281733095645905,0.9467572569847107,0.9467572569847107,17693.0,17693.0
7,0.9472839832305908,0.9836648106575012,0.1626155972480774,0.08423662930727005,0.9472839832305908,0.9472839832305908,70872.0,70872.0,0.9367508292198181,0.9758093357086182,0.20216146111488342,0.09110402315855026,0.9367508292198181,0.9367508292198181,17506.0,17506.0
8,0.9474577903747559,0.9833876490592957,0.16224539279937744,0.08378711342811584,0.9474577903747559,0.9474577903747559,70885.0,70885.0,0.9477739930152893,0.9816858768463135,0.17069418728351593,0.09536072611808777,0.9477739930152893,0.9477739930152893,17712.0,17712.0
9,0.9481661915779114,0.9837926030158997,0.16039840877056122,0.08299601078033447,0.9481661915779114,0.9481661915779114,70938.0,70938.0,0.9445098638534546,0.9812880158424377,0.17352508008480072,0.09555191546678543,0.9445098638534546,0.9445098638534546,17651.0,17651.0
10,0.9504651427268982,0.9848117232322693,0.1544937938451767,0.08008946478366852,0.9504651427268982,0.9504651427268982,71110.0,71110.0,0.9493792653083801,0.9832115769386292,0.1616799533367157,0.0862123891711235,0.9493792653083801,0.9493792653083801,17742.0,17742.0
11,0.9515210390090942,0.9855256676673889,0.150533527135849,0.0779581144452095,0.9515210390090942,0.9515210390090942,71189.0,71189.0,0.9503960013389587,0.9827156662940979,0.16274680197238922,0.07656579464673996,0.9503960013389587,0.9503960013389587,17761.0,17761.0
12,0.952724039554596,0.9860652089118958,0.1476110816001892,0.07621509581804276,0.952724039554596,0.952724039554596,71279.0,71279.0,0.9481485486030579,0.9830254912376404,0.1613999605178833,0.07658301293849945,0.9481485486030579,0.9481485486030579,17719.0,17719.0
13,0.952109158039093,0.9860773086547852,0.14757584035396576,0.076453298330307,0.952109158039093,0.952109158039093,71233.0,71233.0,0.9454195499420166,0.9827896952629089,0.16559864580631256,0.08072639256715775,0.9454195499420166,0.9454195499420166,17668.0,17668.0
14,0.9540071487426758,0.9865909814834595,0.14401774108409882,0.07454489916563034,0.9540071487426758,0.9540071487426758,71375.0,71375.0,0.9407641291618347,0.9774300456047058,0.18835942447185516,0.09005849808454514,0.9407641291618347,0.9407641291618347,17581.0,17581.0
15,0.9530314207077026,0.9867278933525085,0.14421981573104858,0.07482889294624329,0.9530314207077026,0.9530314207077026,71302.0,71302.0,0.9511451125144958,0.9836212992668152,0.16185462474822998,0.06965400278568268,0.9511451125144958,0.9511451125144958,17775.0,17775.0
16,0.9542611241340637,0.9871286749839783,0.14147765934467316,0.07334225624799728,0.9542611241340637,0.9542611241340637,71394.0,71394.0,0.9507705569267273,0.9832738637924194,0.159424290060997,0.07162854075431824,0.9507705569267273,0.9507705569267273,17768.0,17768.0
17,0.9540205597877502,0.9872457981109619,0.14098908007144928,0.07308930903673172,0.9540205597877502,0.9540205597877502,71376.0,71376.0,0.9515196681022644,0.9837625026702881,0.1574535369873047,0.07718377560377121,0.9515196681022644,0.9515196681022644,17782.0,17782.0
18,0.9553304314613342,0.9878287315368652,0.13742347061634064,0.07141996175050735,0.9553304314613342,0.9553304314613342,71474.0,71474.0,0.9520012736320496,0.9833546280860901,0.16281570494174957,0.06663496792316437,0.9520012736320496,0.9520012736320496,17791.0,17791.0
19,0.9563863277435303,0.9880254864692688,0.13568873703479767,0.07009068876504898,0.9563863277435303,0.9563863277435303,71553.0,71553.0,0.9505029916763306,0.9836560487747192,0.15801087021827698,0.0767766535282135,0.9505029916763306,0.9505029916763306,17763.0,17763.0
20,0.9553304314613342,0.9881118535995483,0.13641270995140076,0.07113233953714371,0.9553304314613342,0.9553304314613342,71474.0,71474.0,0.9412992000579834,0.9781034588813782,0.18869437277317047,0.08507119864225388,0.9412992000579834,0.9412992000579834,17591.0,17591.0
21,0.9574689865112305,0.9886236190795898,0.13259373605251312,0.068404920399189,0.9574689865112305,0.9574689865112305,71634.0,71634.0,0.9459546208381653,0.9815653562545776,0.17139330506324768,0.08068463206291199,0.9459546208381653,0.9459546208381653,17678.0,17678.0
22,0.9561457633972168,0.9883723258972168,0.13441093266010284,0.07003184407949448,0.9561457633972168,0.9561457633972168,71535.0,71535.0,0.9451519846916199,0.9823779463768005,0.16897781193256378,0.0780535563826561,0.9451519846916199,0.9451519846916199,17663.0,17663.0
23,0.9573085904121399,0.9891679883003235,0.1301587074995041,0.06783110648393631,0.9573085904121399,0.9573085904121399,71622.0,71622.0,0.9492722749710083,0.9818906188011169,0.1665469855070114,0.08939282596111298,0.9492722749710083,0.9492722749710083,17740.0,17740.0
24,0.9574957489967346,0.9892587065696716,0.12967632710933685,0.06763490289449692,0.9574957489967346,0.9574957489967346,71636.0,71636.0,0.951626718044281,0.9827349185943604,0.16321535408496857,0.07060644030570984,0.951626718044281,0.951626718044281,17784.0,17784.0
25,0.9583377838134766,0.9896875023841858,0.1267825961112976,0.06608334928750992,0.9583377838134766,0.9583377838134766,71699.0,71699.0,0.9487371444702148,0.9830187559127808,0.16197893023490906,0.07630721479654312,0.9487371444702148,0.9487371444702148,17730.0,17730.0
26,0.9576961994171143,0.9895345568656921,0.12858888506889343,0.06715302169322968,0.9576961994171143,0.9576961994171143,71651.0,71651.0,0.9461686611175537,0.9813189506530762,0.17034003138542175,0.07799053937196732,0.9461686611175537,0.9461686611175537,17682.0,17682.0
27,0.9583110809326172,0.9898832440376282,0.12626062333583832,0.06586114317178726,0.9583110809326172,0.9583110809326172,71697.0,71697.0,0.947399377822876,0.9827892780303955,0.16428010165691376,0.07602362334728241,0.947399377822876,0.947399377822876,17705.0,17705.0
28,0.9588991403579712,0.9900619983673096,0.12482888996601105,0.06506629288196564,0.9588991403579712,0.9588991403579712,71741.0,71741.0,0.9464362263679504,0.981364905834198,0.1722724288702011,0.07301311194896698,0.9464362263679504,0.9464362263679504,17687.0,17687.0
29,0.9591531157493591,0.9904220104217529,0.12258003652095795,0.06408862769603729,0.9591531157493591,0.9591531157493591,71760.0,71760.0,0.9502889513969421,0.9827554821968079,0.1663220077753067,0.06800595670938492,0.9502889513969421,0.9502889513969421,17759.0,17759.0
30,0.9590060710906982,0.9905725121498108,0.12241744250059128,0.0643375962972641,0.9590060710906982,0.9590060710906982,71749.0,71749.0,0.948630154132843,0.9818340539932251,0.16985991597175598,0.0736829861998558,0.948630154132843,0.948630154132843,17728.0,17728.0
31,0.9584046006202698,0.9905393719673157,0.12262921035289764,0.06441362202167511,0.9584046006202698,0.9584046006202698,71704.0,71704.0,0.9484161138534546,0.9826771020889282,0.16387148201465607,0.07565444707870483,0.9484161138534546,0.9484161138534546,17724.0,17724.0
32,0.9597679376602173,0.9909176826477051,0.11987561732530594,0.0629209578037262,0.9597679376602173,0.9597679376602173,71806.0,71806.0,0.9482555389404297,0.9800838828086853,0.17751087248325348,0.07584738731384277,0.9482555389404297,0.9482555389404297,17721.0,17721.0
33,0.959848165512085,0.9910709857940674,0.11909708380699158,0.06249558925628662,0.959848165512085,0.959848165512085,71812.0,71812.0,0.9462757110595703,0.9813002943992615,0.1753498911857605,0.07011808454990387,0.9462757110595703,0.9462757110595703,17684.0,17684.0
34,0.9598348140716553,0.9911488890647888,0.11883114278316498,0.062418412417173386,0.9598348140716553,0.9598348140716553,71811.0,71811.0,0.9461686611175537,0.9811636209487915,0.17481720447540283,0.07459008693695068,0.9461686611175537,0.9461686611175537,17682.0,17682.0
35,0.960970938205719,0.9914049506187439,0.1162942573428154,0.06105232611298561,0.960970938205719,0.960970938205719,71896.0,71896.0,0.9455265402793884,0.9812191128730774,0.1812487542629242,0.07043653726577759,0.9455265402793884,0.9455265402793884,17670.0,17670.0
36,0.9601956605911255,0.9912297129631042,0.11862426996231079,0.06228617951273918,0.9601956605911255,0.9601956605911255,71838.0,71838.0,0.9454730153083801,0.9798453450202942,0.18417592346668243,0.07153841853141785,0.9454730153083801,0.9454730153083801,17669.0,17669.0
37,0.9616659283638,0.9920119643211365,0.11323875933885574,0.05987360328435898,0.9616659283638,0.9616659283638,71948.0,71948.0,0.9491652250289917,0.9828315377235413,0.16466480493545532,0.070255346596241,0.9491652250289917,0.9491652250289917,17738.0,17738.0
38,0.9611847996711731,0.9917165637016296,0.11540241539478302,0.06091955304145813,0.9611847996711731,0.9611847996711731,71912.0,71912.0,0.9442422986030579,0.9791833162307739,0.19418135285377502,0.06952744722366333,0.9442422986030579,0.9442422986030579,17646.0,17646.0
39,0.9609842896461487,0.9920662045478821,0.1135702133178711,0.05968065559864044,0.9609842896461487,0.9609842896461487,71897.0,71897.0,0.9443492889404297,0.9810031056404114,0.17768119275569916,0.0712992399930954,0.9443492889404297,0.9443492889404297,17648.0,17648.0
40,0.9615189433097839,0.9921610355377197,0.11283561587333679,0.05963969975709915,0.9615189433097839,0.9615189433097839,71937.0,71937.0,0.9450449347496033,0.9805179834365845,0.17955228686332703,0.07654281705617905,0.9450449347496033,0.9450449347496033,17661.0,17661.0
41,0.960797131061554,0.9925597310066223,0.11099713295698166,0.05902141332626343,0.960797131061554,0.960797131061554,71883.0,71883.0,0.9503424763679504,0.9816281199455261,0.17452043294906616,0.06587657332420349,0.9503424763679504,0.9503424763679504,17760.0,17760.0
42,0.9607704281806946,0.9922981262207031,0.11316322535276413,0.059858717024326324,0.9607704281806946,0.9607704281806946,71881.0,71881.0,0.9411922097206116,0.9791831970214844,0.1840457171201706,0.0828072726726532,0.9411922097206116,0.9411922097206116,17589.0,17589.0
43,0.9624277949333191,0.9925753474235535,0.10989730060100555,0.0578845739364624,0.9624277949333191,0.9624277949333191,72005.0,72005.0,0.9457405805587769,0.9817196130752563,0.1775047332048416,0.07251662760972977,0.9457405805587769,0.9457405805587769,17674.0,17674.0
44,0.9619065523147583,0.9925719499588013,0.1102350652217865,0.0584181547164917,0.9619065523147583,0.9619065523147583,71966.0,71966.0,0.9376605153083801,0.9784384965896606,0.1856844425201416,0.0923551470041275,0.9376605153083801,0.9376605153083801,17523.0,17523.0
45,0.9615724086761475,0.9926325678825378,0.11030317842960358,0.05889030545949936,0.9615724086761475,0.9615724086761475,71941.0,71941.0,0.9481485486030579,0.9815219640731812,0.17341826856136322,0.07019654661417007,0.9481485486030579,0.9481485486030579,17719.0,17719.0
46,0.9626016020774841,0.992760181427002,0.10866351425647736,0.057672884315252304,0.9626016020774841,0.9626016020774841,72018.0,72018.0,0.9462757110595703,0.9800879955291748,0.18243977427482605,0.0725443884730339,0.9462757110595703,0.9462757110595703,17684.0,17684.0
47,0.9629089832305908,0.9930739998817444,0.10629686713218689,0.05618613213300705,0.9629089832305908,0.9629089832305908,72041.0,72041.0,0.9442422986030579,0.980595588684082,0.17698414623737335,0.07922779023647308,0.9442422986030579,0.9442422986030579,17646.0,17646.0
48,0.9633500576019287,0.993362307548523,0.10450580716133118,0.055500686168670654,0.9633500576019287,0.9633500576019287,72074.0,72074.0,0.9462757110595703,0.9796774983406067,0.1928505003452301,0.06637679040431976,0.9462757110595703,0.9462757110595703,17684.0,17684.0
49,0.96257483959198,0.9931364059448242,0.10674643516540527,0.05694473534822464,0.96257483959198,0.96257483959198,72016.0,72016.0,0.9469178318977356,0.9807825684547424,0.17969989776611328,0.07172232866287231,0.9469178318977356,0.9469178318977356,17696.0,17696.0
50,0.9625614881515503,0.9931750297546387,0.10615919530391693,0.056461580097675323,0.9625614881515503,0.9625614881515503,72015.0,72015.0,0.9385166764259338,0.9779054522514343,0.19739580154418945,0.07756751030683517,0.9385166764259338,0.9385166764259338,17539.0,17539.0
51,0.9626149535179138,0.9934548735618591,0.10448490083217621,0.0555325485765934,0.9626149535179138,0.9626149535179138,72019.0,72019.0,0.946222186088562,0.9804877042770386,0.18833868205547333,0.06826566904783249,0.946222186088562,0.946222186088562,17683.0,17683.0
